SFC ID,Total Resources,Total Reliability,Total Latency,VNFs
0,134,0.939965985874324,30,"[{'id': 0, 'sfc_id': 0, 'resources': 32, 'latency': 5, 'server_id': 6}, {'id': 1, 'sfc_id': 0, 'resources': 17, 'latency': 4, 'server_id': 4}, {'id': 2, 'sfc_id': 0, 'resources': 35, 'latency': 1, 'server_id': 2}, {'id': 3, 'sfc_id': 0, 'resources': 32, 'latency': 4, 'server_id': 5}, {'id': 4, 'sfc_id': 0, 'resources': 18, 'latency': 2, 'server_id': 3}]"
1,88,0.9503055883854473,28,"[{'id': 5, 'sfc_id': 1, 'resources': 13, 'latency': 1, 'server_id': 6}, {'id': 6, 'sfc_id': 1, 'resources': 13, 'latency': 3, 'server_id': 5}, {'id': 7, 'sfc_id': 1, 'resources': 29, 'latency': 3, 'server_id': 0}, {'id': 8, 'sfc_id': 1, 'resources': 33, 'latency': 4, 'server_id': 8}]"
2,94,0.9672252314956469,17,"[{'id': 9, 'sfc_id': 2, 'resources': 39, 'latency': 4, 'server_id': 1}, {'id': 10, 'sfc_id': 2, 'resources': 27, 'latency': 3, 'server_id': 5}, {'id': 11, 'sfc_id': 2, 'resources': 28, 'latency': 2, 'server_id': 0}]"
3,118,0.9426109893788667,35,"[{'id': 12, 'sfc_id': 3, 'resources': 17, 'latency': 3, 'server_id': 1}, {'id': 13, 'sfc_id': 3, 'resources': 37, 'latency': 2, 'server_id': 6}, {'id': 14, 'sfc_id': 3, 'resources': 18, 'latency': 4, 'server_id': 5}, {'id': 15, 'sfc_id': 3, 'resources': 15, 'latency': 3, 'server_id': 3}, {'id': 16, 'sfc_id': 3, 'resources': 31, 'latency': 3, 'server_id': 2}]"
4,144,0.9384600249979952,28,"[{'id': 17, 'sfc_id': 4, 'resources': 33, 'latency': 2, 'server_id': 2}, {'id': 18, 'sfc_id': 4, 'resources': 24, 'latency': 4, 'server_id': 4}, {'id': 19, 'sfc_id': 4, 'resources': 39, 'latency': 5, 'server_id': 3}, {'id': 20, 'sfc_id': 4, 'resources': 31, 'latency': 3, 'server_id': 0}, {'id': 21, 'sfc_id': 4, 'resources': 17, 'latency': 1, 'server_id': 5}]"
0,134,0.9464643507299162,29,"[{'id': 0, 'sfc_id': 0, 'resources': 32, 'latency': 5, 'server_id': 6}, {'id': 1, 'sfc_id': 0, 'resources': 17, 'latency': 4, 'server_id': 4}, {'id': 2, 'sfc_id': 0, 'resources': 35, 'latency': 1, 'server_id': 7}, {'id': 3, 'sfc_id': 0, 'resources': 32, 'latency': 4, 'server_id': 5}, {'id': 4, 'sfc_id': 0, 'resources': 18, 'latency': 2, 'server_id': 3}]"
1,88,0.9503055883854473,28,"[{'id': 5, 'sfc_id': 1, 'resources': 13, 'latency': 1, 'server_id': 6}, {'id': 6, 'sfc_id': 1, 'resources': 13, 'latency': 3, 'server_id': 5}, {'id': 7, 'sfc_id': 1, 'resources': 29, 'latency': 3, 'server_id': 0}, {'id': 8, 'sfc_id': 1, 'resources': 33, 'latency': 4, 'server_id': 8}]"
2,94,0.9672252314956469,17,"[{'id': 9, 'sfc_id': 2, 'resources': 39, 'latency': 4, 'server_id': 1}, {'id': 10, 'sfc_id': 2, 'resources': 27, 'latency': 3, 'server_id': 5}, {'id': 11, 'sfc_id': 2, 'resources': 28, 'latency': 2, 'server_id': 0}]"
3,118,0.9491280377489375,34,"[{'id': 12, 'sfc_id': 3, 'resources': 17, 'latency': 3, 'server_id': 1}, {'id': 13, 'sfc_id': 3, 'resources': 37, 'latency': 2, 'server_id': 6}, {'id': 14, 'sfc_id': 3, 'resources': 18, 'latency': 4, 'server_id': 5}, {'id': 15, 'sfc_id': 3, 'resources': 15, 'latency': 3, 'server_id': 3}, {'id': 16, 'sfc_id': 3, 'resources': 31, 'latency': 3, 'server_id': 7}]"
4,144,0.94494775219591,26,"[{'id': 17, 'sfc_id': 4, 'resources': 33, 'latency': 2, 'server_id': 7}, {'id': 18, 'sfc_id': 4, 'resources': 24, 'latency': 4, 'server_id': 4}, {'id': 19, 'sfc_id': 4, 'resources': 39, 'latency': 5, 'server_id': 3}, {'id': 20, 'sfc_id': 4, 'resources': 31, 'latency': 3, 'server_id': 0}, {'id': 21, 'sfc_id': 4, 'resources': 17, 'latency': 1, 'server_id': 5}]"
0,119,0.9551491573170635,inf,"[{'id': 0, 'sfc_id': 0, 'resources': 38, 'latency': 5, 'server_id': 25}, {'id': 1, 'sfc_id': 0, 'resources': 21, 'latency': 2, 'server_id': 8}, {'id': 2, 'sfc_id': 0, 'resources': 26, 'latency': 4, 'server_id': 5}, {'id': 3, 'sfc_id': 0, 'resources': 34, 'latency': 1, 'server_id': 7}]"
1,73,0.9904815371991619,inf,"[{'id': 4, 'sfc_id': 1, 'resources': 30, 'latency': 2, 'server_id': 50}, {'id': 5, 'sfc_id': 1, 'resources': 31, 'latency': 4, 'server_id': 38}, {'id': 6, 'sfc_id': 1, 'resources': 12, 'latency': 4, 'server_id': 24}]"
2,148,0.9455141585661555,inf,"[{'id': 7, 'sfc_id': 2, 'resources': 24, 'latency': 5, 'server_id': 16}, {'id': 8, 'sfc_id': 2, 'resources': 27, 'latency': 1, 'server_id': 43}, {'id': 9, 'sfc_id': 2, 'resources': 33, 'latency': 1, 'server_id': 34}, {'id': 10, 'sfc_id': 2, 'resources': 34, 'latency': 3, 'server_id': 49}, {'id': 11, 'sfc_id': 2, 'resources': 30, 'latency': 3, 'server_id': 7}]"
3,104,0.9700780404653688,inf,"[{'id': 12, 'sfc_id': 3, 'resources': 23, 'latency': 2, 'server_id': 29}, {'id': 13, 'sfc_id': 3, 'resources': 10, 'latency': 3, 'server_id': 32}, {'id': 14, 'sfc_id': 3, 'resources': 34, 'latency': 2, 'server_id': 6}, {'id': 15, 'sfc_id': 3, 'resources': 37, 'latency': 3, 'server_id': 40}]"
4,129,0.9538593664941123,inf,"[{'id': 16, 'sfc_id': 4, 'resources': 29, 'latency': 2, 'server_id': 9}, {'id': 17, 'sfc_id': 4, 'resources': 21, 'latency': 2, 'server_id': 34}, {'id': 18, 'sfc_id': 4, 'resources': 40, 'latency': 5, 'server_id': 0}, {'id': 19, 'sfc_id': 4, 'resources': 29, 'latency': 3, 'server_id': 31}, {'id': 20, 'sfc_id': 4, 'resources': 10, 'latency': 1, 'server_id': 23}]"
0,119,0.9551491573170635,inf,"[{'id': 0, 'sfc_id': 0, 'resources': 38, 'latency': 5, 'server_id': 25}, {'id': 1, 'sfc_id': 0, 'resources': 21, 'latency': 2, 'server_id': 8}, {'id': 2, 'sfc_id': 0, 'resources': 26, 'latency': 4, 'server_id': 5}, {'id': 3, 'sfc_id': 0, 'resources': 34, 'latency': 1, 'server_id': 7}]"
1,73,0.9904815371991619,inf,"[{'id': 4, 'sfc_id': 1, 'resources': 30, 'latency': 2, 'server_id': 50}, {'id': 5, 'sfc_id': 1, 'resources': 31, 'latency': 4, 'server_id': 38}, {'id': 6, 'sfc_id': 1, 'resources': 12, 'latency': 4, 'server_id': 24}]"
2,148,0.9455141585661555,inf,"[{'id': 7, 'sfc_id': 2, 'resources': 24, 'latency': 5, 'server_id': 16}, {'id': 8, 'sfc_id': 2, 'resources': 27, 'latency': 1, 'server_id': 43}, {'id': 9, 'sfc_id': 2, 'resources': 33, 'latency': 1, 'server_id': 34}, {'id': 10, 'sfc_id': 2, 'resources': 34, 'latency': 3, 'server_id': 49}, {'id': 11, 'sfc_id': 2, 'resources': 30, 'latency': 3, 'server_id': 7}]"
